漢字,部首,画数,学年,追加年,読み
俱,NA,NA,jun1kyu,NA,NA
噓,NA,NA,jun1kyu,NA,NA
搔,NA,NA,jun1kyu,NA,NA
焰,NA,NA,jun1kyu,NA,NA
繫,NA,NA,jun1kyu,NA,NA
蝱,NA,NA,jun1kyu,NA,NA
醱,NA,NA,jun1kyu,NA,NA
麴,NA,NA,jun1kyu,NA,NA
逢,NA,NA,jun1kyu,NA,NA
旭,NA,NA,jun1kyu,NA,NA
姐,NA,NA,jun1kyu,NA,NA
鮎,NA,NA,jun1kyu,NA,NA
按,NA,NA,jun1kyu,NA,NA
惟,NA,NA,jun1kyu,NA,NA
溢,NA,NA,jun1kyu,NA,NA
吋,NA,NA,jun1kyu,NA,NA
窺,NA,NA,jun1kyu,NA,NA
鰻,NA,NA,jun1kyu,NA,NA
噂,NA,NA,jun1kyu,NA,NA
曳,NA,NA,jun1kyu,NA,NA
頴,NA,NA,jun1kyu,NA,NA
掩,NA,NA,jun1kyu,NA,NA
鴛,NA,NA,jun1kyu,NA,NA
鴎,NA,NA,jun1kyu,NA,NA
嘉,NA,NA,jun1kyu,NA,NA
嘩,NA,NA,jun1kyu,NA,NA
臥,NA,NA,jun1kyu,NA,NA
魁,NA,NA,jun1kyu,NA,NA
咳,NA,NA,jun1kyu,NA,NA
蛙,NA,NA,jun1kyu,NA,NA
撹,NA,NA,jun1kyu,NA,NA
梶,NA,NA,jun1kyu,NA,NA
椛,NA,NA,jun1kyu,NA,NA
蒲,NA,NA,jun1kyu,NA,NA
粥,NA,NA,jun1kyu,NA,NA
桓,NA,NA,jun1kyu,NA,NA
莞,NA,NA,jun1kyu,NA,NA
翫,NA,NA,jun1kyu,NA,NA
稀,NA,NA,jun1kyu,NA,NA
誼,NA,NA,jun1kyu,NA,NA
橘,NA,NA,jun1kyu,NA,NA
汲,NA,NA,jun1kyu,NA,NA
禦,NA,NA,jun1kyu,NA,NA
匡,NA,NA,jun1kyu,NA,NA
蕎,NA,NA,jun1kyu,NA,NA
欣,NA,NA,jun1kyu,NA,NA
倶,NA,NA,jun1kyu,NA,NA
駈,NA,NA,jun1kyu,NA,NA
屑,NA,NA,jun1kyu,NA,NA
粂,NA,NA,jun1kyu,NA,NA
祁,NA,NA,jun1kyu,NA,NA
畦,NA,NA,jun1kyu,NA,NA
戟,NA,NA,jun1kyu,NA,NA
牽,NA,NA,jun1kyu,NA,NA
乎,NA,NA,jun1kyu,NA,NA
胡,NA,NA,jun1kyu,NA,NA
吾,NA,NA,jun1kyu,NA,NA
鯉,NA,NA,jun1kyu,NA,NA
巷,NA,NA,jun1kyu,NA,NA
杭,NA,NA,jun1kyu,NA,NA
腔,NA,NA,jun1kyu,NA,NA
劫,NA,NA,jun1kyu,NA,NA
鵠,NA,NA,jun1kyu,NA,NA
狛,NA,NA,jun1kyu,NA,NA
艮,NA,NA,jun1kyu,NA,NA
裟,NA,NA,jun1kyu,NA,NA
冴,NA,NA,jun1kyu,NA,NA
朔,NA,NA,jun1kyu,NA,NA
薩,NA,NA,jun1kyu,NA,NA
鮫,NA,NA,jun1kyu,NA,NA
纂,NA,NA,jun1kyu,NA,NA
孜,NA,NA,jun1kyu,NA,NA
而,NA,NA,jun1kyu,NA,NA
宍,NA,NA,jun1kyu,NA,NA
偲,NA,NA,jun1kyu,NA,NA
紗,NA,NA,jun1kyu,NA,NA
惹,NA,NA,jun1kyu,NA,NA
輯,NA,NA,jun1kyu,NA,NA
峻,NA,NA,jun1kyu,NA,NA
淳,NA,NA,jun1kyu,NA,NA
藷,NA,NA,jun1kyu,NA,NA
妾,NA,NA,jun1kyu,NA,NA
昌,NA,NA,jun1kyu,NA,NA
菖,NA,NA,jun1kyu,NA,NA
鉦,NA,NA,jun1kyu,NA,NA
杖,NA,NA,jun1kyu,NA,NA
晋,NA,NA,jun1kyu,NA,NA
壬,NA,NA,jun1kyu,NA,NA
厨,NA,NA,jun1kyu,NA,NA
瑞,NA,NA,jun1kyu,NA,NA
菅,NA,NA,jun1kyu,NA,NA
栖,NA,NA,jun1kyu,NA,NA
尖,NA,NA,jun1kyu,NA,NA
箭,NA,NA,jun1kyu,NA,NA
糎,NA,NA,jun1kyu,NA,NA
蘇,NA,NA,jun1kyu,NA,NA
惣,NA,NA,jun1kyu,NA,NA
綜,NA,NA,jun1kyu,NA,NA
揃,NA,NA,jun1kyu,NA,NA
陀,NA,NA,jun1kyu,NA,NA
黛,NA,NA,jun1kyu,NA,NA
托,NA,NA,jun1kyu,NA,NA
蛸,NA,NA,jun1kyu,NA,NA
竪,NA,NA,jun1kyu,NA,NA
坦,NA,NA,jun1kyu,NA,NA
蛋,NA,NA,jun1kyu,NA,NA
馳,NA,NA,jun1kyu,NA,NA
猪,NA,NA,jun1kyu,NA,NA
帖,NA,NA,jun1kyu,NA,NA
諜,NA,NA,jun1kyu,NA,NA
掴,NA,NA,jun1kyu,NA,NA
蔦,NA,NA,jun1kyu,NA,NA
嬬,NA,NA,jun1kyu,NA,NA
挺,NA,NA,jun1kyu,NA,NA
蹄,NA,NA,jun1kyu,NA,NA
鏑,NA,NA,jun1kyu,NA,NA
澱,NA,NA,jun1kyu,NA,NA
鍍,NA,NA,jun1kyu,NA,NA
宕,NA,NA,jun1kyu,NA,NA
祷,NA,NA,jun1kyu,NA,NA
萄,NA,NA,jun1kyu,NA,NA
椴,NA,NA,jun1kyu,NA,NA
瀞,NA,NA,jun1kyu,NA,NA
遁,NA,NA,jun1kyu,NA,NA
灘,NA,NA,jun1kyu,NA,NA
楠,NA,NA,jun1kyu,NA,NA
濡,NA,NA,jun1kyu,NA,NA
乃,NA,NA,jun1kyu,NA,NA
膿,NA,NA,jun1kyu,NA,NA
杷,NA,NA,jun1kyu,NA,NA
楳,NA,NA,jun1kyu,NA,NA
秤,NA,NA,jun1kyu,NA,NA
粕,NA,NA,jun1kyu,NA,NA
硲,NA,NA,jun1kyu,NA,NA
溌,NA,NA,jun1kyu,NA,NA
塙,NA,NA,jun1kyu,NA,NA
磐,NA,NA,jun1kyu,NA,NA
緋,NA,NA,jun1kyu,NA,NA
毘,NA,NA,jun1kyu,NA,NA
髭,NA,NA,jun1kyu,NA,NA
逼,NA,NA,jun1kyu,NA,NA
瓢,NA,NA,jun1kyu,NA,NA
蒜,NA,NA,jun1kyu,NA,NA
瀕,NA,NA,jun1kyu,NA,NA
葡,NA,NA,jun1kyu,NA,NA
淵,NA,NA,jun1kyu,NA,NA
焚,NA,NA,jun1kyu,NA,NA
瞥,NA,NA,jun1kyu,NA,NA
鋪,NA,NA,jun1kyu,NA,NA
菩,NA,NA,jun1kyu,NA,NA
朋,NA,NA,jun1kyu,NA,NA
鳳,NA,NA,jun1kyu,NA,NA
穆,NA,NA,jun1kyu,NA,NA
槙,NA,NA,jun1kyu,NA,NA
俣,NA,NA,jun1kyu,NA,NA
巳,NA,NA,jun1kyu,NA,NA
粍,NA,NA,jun1kyu,NA,NA
牝,NA,NA,jun1kyu,NA,NA
蒙,NA,NA,jun1kyu,NA,NA
籾,NA,NA,jun1kyu,NA,NA
爺,NA,NA,jun1kyu,NA,NA
愈,NA,NA,jun1kyu,NA,NA
涌,NA,NA,jun1kyu,NA,NA
傭,NA,NA,jun1kyu,NA,NA
遥,NA,NA,jun1kyu,NA,NA
洛,NA,NA,jun1kyu,NA,NA
掠,NA,NA,jun1kyu,NA,NA
凌,NA,NA,jun1kyu,NA,NA
淋,NA,NA,jun1kyu,NA,NA
伶,NA,NA,jun1kyu,NA,NA
憐,NA,NA,jun1kyu,NA,NA
蓮,NA,NA,jun1kyu,NA,NA
狼,NA,NA,jun1kyu,NA,NA
肋,NA,NA,jun1kyu,NA,NA
亘,NA,NA,jun1kyu,NA,NA
椀,NA,NA,jun1kyu,NA,NA
凾,NA,NA,jun1kyu,NA,NA
崕,NA,NA,jun1kyu,NA,NA
攪,NA,NA,jun1kyu,NA,NA
渕,NA,NA,jun1kyu,NA,NA
皋,NA,NA,jun1kyu,NA,NA
篦,NA,NA,jun1kyu,NA,NA
莵,NA,NA,jun1kyu,NA,NA
藪,NA,NA,jun1kyu,NA,NA
諫,NA,NA,jun1kyu,NA,NA
鉤,NA,NA,jun1kyu,NA,NA
頸,NA,NA,jun1kyu,NA,NA
鸚,NA,NA,jun1kyu,NA,NA
偓,NA,NA,jun1kyu,NA,NA
嚙,NA,NA,jun1kyu,NA,NA
摑,NA,NA,jun1kyu,NA,NA
盌,NA,NA,jun1kyu,NA,NA
荆,NA,NA,jun1kyu,NA,NA
蟬,NA,NA,jun1kyu,NA,NA
顚,NA,NA,jun1kyu,NA,NA
㵎,NA,NA,jun1kyu,NA,NA
